11-04-2021 11:37:22:923	 type: INFO  	                      main: line  20 -	 message: Initialisation des couleurs
11-04-2021 11:37:23:029	 type: INFO  	                      main: line  37 -	 message: Debut du programme
11-04-2021 11:37:23:590	 type: INFO  	                      main: line  73 -	 message: Reception des fichiers XML
11-04-2021 11:37:26:419	 type: INFO  	                MutableInt: line  18 -	 message: Changement de valeur à:10
11-04-2021 11:37:28:169	 type: INFO  	                MutableInt: line  18 -	 message: Changement de valeur à:1
11-04-2021 11:37:30:463	 type: INFO  	                MutableInt: line  18 -	 message: Changement de valeur à:12
11-04-2021 11:37:31:855	 type: INFO  	                MutableInt: line  18 -	 message: Changement de valeur à:1
11-04-2021 11:37:31:970	 type: INFO  	                 PlaySound: line  43 -	 message: Apres sock
11-04-2021 11:37:31:971	 type: INFO  	                 PlaySound: line  45 -	 message: File is C:\Users\Flor1\AppData\Local\Temp\Oasis - Wonderwall (Official Video).wav
11-04-2021 11:37:31:971	 type: INFO  	                 PlaySound: line  47 -	 message: post creation is
11-04-2021 11:37:31:972	 type: INFO  	                 PlaySound: line  49 -	 message: post creation fos
11-04-2021 11:37:31:973	 type: INFO  	                 PlaySound: line  51 -	 message: post creation bos
11-04-2021 11:37:32:044	 type: INFO  	                 PlaySound: line  57 -	 message: Read 8192 0
11-04-2021 11:37:32:044	 type: INFO  	                 PlaySound: line  57 -	 message: Read 8192 8192
11-04-2021 11:37:32:045	 type: INFO  	                 PlaySound: line  57 -	 message: Read 8192 16384
11-04-2021 11:37:32:045	 type: INFO  	                 PlaySound: line  57 -	 message: Read 8192 24576
11-04-2021 11:37:32:048	 type: INFO  	                 PlaySound: line  57 -	 message: Read 8192 32768
11-04-2021 11:37:32:049	 type: INFO  	                 PlaySound: line  57 -	 message: Read 8192 40960
11-04-2021 11:37:32:049	 type: INFO  	                 PlaySound: line  57 -	 message: Read 8192 49152
11-04-2021 11:37:32:050	 type: INFO  	                 PlaySound: line  57 -	 message: Read 8192 57344
11-04-2021 11:37:32:052	 type: INFO  	                 PlaySound: line  57 -	 message: Read 8192 65536
11-04-2021 11:37:32:052	 type: INFO  	                 PlaySound: line  57 -	 message: Read 8192 73728
11-04-2021 11:37:32:052	 type: INFO  	                 PlaySound: line  57 -	 message: Read 8192 81920
11-04-2021 11:37:32:052	 type: INFO  	                 PlaySound: line  57 -	 message: Read 8192 90112
11-04-2021 11:37:32:052	 type: INFO  	                 PlaySound: line  57 -	 message: Read 8192 98304
11-04-2021 11:37:32:053	 type: INFO  	                 PlaySound: line  57 -	 message: Read 8192 106496
